E0814 23:02:24.984292  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:02:25.294457  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:02:25.294492  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:02:27.357264  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:02:27.357295  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:02:27.448243  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:02:27.448271  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:02:32.118214  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:02:32.118249  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:02:36.487607  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
